iter	Logloss
0	0.5327834789
1	0.4194017953
2	0.3279784223
3	0.2600356286
4	0.2174811077
5	0.1797469749
6	0.150634268
7	0.1291516134
8	0.1101090865
9	0.09451587941
10	0.08168579676
11	0.07160355907
12	0.06313068621
13	0.0566067789
14	0.05042304717
15	0.04678080097
16	0.04348725414
17	0.04005012549
18	0.03713802144
19	0.03407240984
20	0.03181633345
21	0.0299658507
22	0.02830625839
23	0.02697885339
24	0.02583751436
25	0.02499942282
26	0.02395796511
27	0.02325784245
28	0.02234329392
29	0.02146318648
30	0.02072807423
31	0.019763712
32	0.01892852991
33	0.01830988296
34	0.0179632253
35	0.01750667922
36	0.01708807864
37	0.01659448821
38	0.01600820151
39	0.01574615669
40	0.01524892796
41	0.01475455302
42	0.01427065928
43	0.013880462
44	0.01364918973
45	0.01338246514
46	0.01310643077
47	0.01276830348
48	0.01248340993
49	0.01221753017
50	0.01202175874
51	0.01181630842
52	0.01168215663
53	0.01153783472
54	0.01145018375
55	0.0112678448
56	0.0111067812
57	0.01099852421
58	0.0108445154
59	0.01066267724
60	0.01059950039
61	0.01053785571
62	0.01037818857
63	0.01023783689
64	0.01013219886
65	0.01001160515
66	0.00990948595
67	0.009699126184
68	0.009587043356
69	0.0093969033
70	0.009208277826
71	0.009133830187
72	0.008989901523
73	0.008857409809
74	0.008730288383
75	0.008574004657
76	0.008496060692
77	0.008349271112
78	0.008263047419
79	0.00820124562
80	0.00813013197
81	0.008002006376
82	0.007937860323
83	0.007870793715
84	0.007764505448
85	0.007661365762
86	0.007551778028
87	0.007472470481
88	0.007371711278
89	0.007305431728
90	0.007243676907
91	0.007185206009
92	0.007144553391
93	0.007029923178
94	0.006949572261
95	0.006835740978
96	0.00673029379
97	0.006640858311
98	0.006605108482
99	0.006577115038
100	0.006491555834
101	0.006395342803
102	0.006331204758
103	0.006293792934
104	0.006230590267
105	0.006172663229
106	0.006108940834
107	0.006052069581
108	0.005962053762
109	0.005900384502
110	0.005859527137
111	0.005792405723
112	0.005742292824
113	0.005669868498
114	0.005640991234
115	0.005609893964
116	0.005531434536
117	0.005494755957
118	0.005458524141
119	0.005377233529
120	0.005345938817
121	0.005301228525
122	0.00527385006
123	0.005256895215
124	0.005178831088
125	0.005152820347
126	0.005105300313
127	0.005050072522
128	0.005011374957
129	0.004977329011
130	0.004963992596
131	0.004897496752
132	0.004855507001
133	0.004833845783
134	0.00480649355
135	0.004767206834
136	0.004719667609
137	0.004692945919
138	0.004672575659
139	0.004639247186
140	0.00460798265
141	0.004568731894
142	0.004523633814
143	0.004480644374
144	0.00443084097
145	0.004364684324
146	0.004349105857
147	0.004304782163
148	0.004282703951
149	0.004269393811
